Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-05-11,11026.1,11026.1,11026.1,11026.1,0,0,0
1999-05-13,11107.2,11107.2,11107.2,11107.2,0,0,0
1999-05-24,10654.7,10654.7,10654.7,10654.7,0,0,0
1999-05-28,10559.8,10559.8,10559.8,10559.8,0,0,0
1999-06-02,10577.9,10577.9,10577.9,10577.9,0,0,0
1999-06-03,10663.7,10663.7,10663.7,10663.7,0,0,0
1999-06-07,10909.4,10909.4,10909.4,10909.4,0,0,0
1999-06-08,10765.7,10765.7,10765.7,10765.7,0,0,0
1999-06-15,10595.0,10595.0,10595.0,10595.0,0,0,0
1999-06-16,10785.0,10785.0,10785.0,10785.0,0,0,0
1999-06-18,10855.6,10855.6,10855.6,10855.6,0,0,0
1999-06-21,10816.0,10816.0,10816.0,10816.0,0,0,0
1999-06-22,10721.6,10721.6,10721.6,10721.6,0,0,0
1999-06-23,10666.9,10666.9,10666.9,10666.9,0,0,0
1999-06-24,10534.8,10534.8,10534.8,10534.8,0,0,0
1999-06-25,10552.6,10552.6,10552.6,10552.6,0,0,0
1999-06-30,10970.8,10970.8,10970.8,10970.8,0,0,0
1999-07-01,11066.4,11066.4,11066.4,11066.4,0,0,0
1999-07-02,11139.2,11139.2,11139.2,11139.2,0,0,0
1999-07-06,11135.1,11135.1,11135.1,11135.1,0,0,0
1999-07-07,11187.4,11187.4,11187.4,11187.4,0,0,0
1999-07-08,11126.9,11126.9,11126.9,11126.9,0,0,0
1999-07-14,11148.1,11148.1,11148.1,11148.1,0,0,0
1999-07-15,11186.4,11186.4,11186.4,11186.4,0,0,0
1999-07-16,11209.8,11209.8,11209.8,11209.8,0,0,0
1999-07-19,11187.7,11187.7,11187.7,11187.7,0,0,0
1999-07-20,10996.1,10996.1,10996.1,10996.1,0,0,0
1999-07-21,11002.8,11002.8,11002.8,11002.8,0,0,0
1999-07-23,10911.0,10911.0,10911.0,10911.0,0,0,0
1999-07-28,10972.1,10972.1,10972.1,10972.1,0,0,0
1999-08-02,10646.0,10646.0,10646.0,10646.0,0,0,0
1999-08-04,10674.8,10674.8,10674.8,10674.8,0,0,0
1999-08-06,10714.0,10714.0,10714.0,10714.0,0,0,0
1999-08-09,10707.7,10707.7,10707.7,10707.7,0,0,0
1999-08-11,10787.8,10787.8,10787.8,10787.8,0,0,0
1999-08-13,10973.7,10973.7,10973.7,10973.7,0,0,0
1999-08-16,11046.8,11046.8,11046.8,11046.8,0,0,0
1999-08-18,10991.4,10991.4,10991.4,10991.4,0,0,0
1999-08-20,11100.6,11100.6,11100.6,11100.6,0,0,0
